Country,Netflix,Prime Video,Hulu,Disney+,Platform Totals,Top 20
United States,1082,1245,631,436,3394,United States
United Kingdom,203,266,147,47,663,United Kingdom
Canada,101,158,59,27,345,Canada
France,118,139,71,7,335,France
India,186,107,7,2,302,India
Germany,68,87,48,7,210,Germany
Australia,27,56,27,10,120,Australia
Spain,55,36,14,1,106,Spain
China,43,32,16,3,94,China
Japan,38,25,19,3,85,Japan
Belgium,30,29,21,1,81,Belgium
Italy,17,27,17,0,61,Italy
Mexico,23,24,10,0,57,Mexico
Ireland,13,23,16,1,53,Ireland
Sweden,10,19,23,0,52,Sweden
Denmark,10,17,20,0,47,Denmark
South Korea,16,11,19,1,47,South Korea
Hong Kong,22,13,9,1,45,Hong Kong
Norway,7,10,15,0,32,Norway
South Africa,10,13,3,0,26,Other
Netherlands,9,6,7,0,22,Other
Poland,10,5,6,1,22,Other
Switzerland,6,10,4,1,21,Other
New Zealand,7,8,6,0,21,Other
Hungary,8,7,3,1,19,Other
Russia,8,6,3,1,18,Other
Argentina,12,3,2,0,17,Other
Brazil,7,8,2,0,17,Other
United Arab Emirates,4,6,6,1,17,Other
Israel,7,8,1,0,16,Other
Austria,4,5,5,0,14,Other
Romania,4,3,6,0,13,Other
Czech Republic,4,3,4,1,12,Other
Finland,4,5,2,0,11,Other
Taiwan,5,1,3,2,11,Other
Egypt,6,1,1,1,9,Other
Thailand,5,3,1,0,9,Other
Bulgaria,3,2,4,0,9,Other
Luxembourg,2,4,3,0,9,Other
Portugal,4,2,2,0,8,Other
Chile,3,3,2,0,8,Other
West Germany,0,7,1,0,8,Other
Singapore,2,1,2,1,6,Other
Colombia,2,1,3,0,6,Other
Ukraine,1,2,3,0,6,Other
Qatar,5,1,0,0,6,Other
Indonesia,4,1,1,0,6,Other
Nigeria,3,3,0,0,6,Other
Philippines,5,1,0,0,6,Other
Iceland,4,0,2,0,6,Other
Greece,3,1,1,0,5,Other
Turkey,2,1,2,0,5,Other
Jordan,3,0,1,0,4,Other
Iran,2,1,0,1,4,Other
Serbia,3,1,0,0,4,Other
Georgia,1,2,0,0,3,Other
Cambodia,3,0,0,0,3,Other
Uruguay,2,0,1,0,3,Other
Morocco,1,2,0,0,3,Other
Malta,2,0,1,0,3,Other
Malaysia,1,0,0,2,3,Other
Lebanon,2,1,0,0,3,Other
Slovenia,1,0,0,1,2,Other
Vietnam,1,0,1,0,2,Other
Senegal,1,0,1,0,2,Other
The Democratic Republic of Congo,1,1,0,0,2,Other
Saudi Arabia,2,0,0,0,2,Other
Monaco,0,1,0,1,2,Other
Jamaica,0,2,0,0,2,Other
Pakistan,1,0,0,1,2,Other
Occupied Palestinian Territory,1,1,0,0,2,Other
Bosnia and Herzegovina,0,1,1,0,2,Other
Puerto Rico,0,2,0,0,2,Other
Reunion,1,0,0,0,1,Other
Yugoslavia,0,1,0,0,1,Other
Bahamas,1,0,0,0,1,Other
Bermuda,1,0,0,0,1,Other
Croatia,0,1,0,0,1,Other
Côte d&#x27;Ivoire,0,0,1,0,1,Other
Ecuador,1,0,0,0,1,Other
Ghana,1,0,0,0,1,Other
Isle of Man,0,1,0,0,1,Other
Tunisia,0,0,1,0,1,Other
Malawi,1,0,0,0,1,Other
Kazakhstan,0,0,0,1,1,Other
Syria,0,0,0,1,1,Other
Aruba,0,1,0,0,1,Other
Montenegro,0,0,1,0,1,Other
Sri Lanka,1,0,0,0,1,Other
Nepal,0,0,1,0,1,Other
Soviet Union,0,1,0,0,1,Other
North Macedonia,0,0,1,0,1,Other
Slovakia,0,0,1,0,1,Other
Peru,1,0,0,0,1,Other
Zimbabwe,1,0,0,0,1,Other
